text,clean_text
Я собираюсь тебя трaхнуть (ах) и это моя це-е-ель,я собираться ты трaхнуть ах и это мой
"Заберу тебя на часик и ты знаешь, что в конце-е-е",забрать ты на часик и ты знать что в
"Прогуляешь одну пару, не обломится лицей",прогулять один пара не обломиться лицей
Я собираюсь тебя тра-а-а (ах),я собираться ты ах
"Это моя цель (damn), тебе всё мало, – это cute-ute",это мой цель damn ты всё мало это
"Мысли плавятся, как лава-лава-лава, I love you-u-u",мысль плавиться как i love
"Ес-если хочешь, маякни на ICQ",хотеть маякнуть на icq
"А-оу, а-оу, новый message: ""Я тебя люблю"" (о боже мой)",новый message я ты любить о бог мой
"Такой шлюший взгляд разжигает fire, и я умираю",такой шлюший взгляд разжигать fire и я умирать
"На твоих руках, я не чувствую страх, ведь я собираюсь",на твой рука я не чувствовать страх ведь я собираться
Я собираюсь тебя трахнуть и это моя це-е-ель,я собираться ты трахнуть и это мой
"Заберу тебя на часик, и ты знаешь, что в конце-е-е",забрать ты на часик и ты знать что в
"Прогуляешь одну пару, не обломится лицей",прогулять один пара не обломиться лицей
Я собираюсь тебя тра-а-а и это моя цель,я собираться ты и это мой цель
Я собираюсь тебя трахнуть и это моя це-е-ель,я собираться ты трахнуть и это мой
"Заберу тебя на часик и ты знаешь, что в конце-е-е",забрать ты на часик и ты знать что в
"Прогуляешь одну пару, не обломится лицей",прогулять один пара не обломиться лицей
Я собираюсь тебя тра-а-а и это моя цель,я собираться ты и это мой цель
"Везувий, я без ума. Пот и грязь, я как вулкан",везувий я без ум пот и грязь я как вулкан
"Слюньки кап-кап, будто магма, извержение в тебя",слюнький будто магма извержение в ты
"Бум-бум, бум-бум, но-но-ночью соседи не спят",сосед не спать
"Вызывают 1-1-2. Киса, нам пора сваливать (woah!)",вызывать киса мы пора сваливать woah
Совесть оставим другим. Твои все подруги глаза круги,совесть оставить другой твой всё подруга глаз круг
"Малышка, ты бриллиант среди них, не надо краснеть, только не стыдись",малышка ты бриллиант среди они не надо краснеть только не стыдиться
"Пиу-пиу-пиу, не тормози, лучше зацени постельный дрифт",не тормозить хороший заценить постельный дрифт
"Резина сотрётся, знаешь, да и хуй с ним. Закрой глаза и просто лети со мной",резина стереться знать да и хуй с они закрыть глаз и просто лететь с я
"Но если спросишь ты, счастлив ли я",но если спросить ты счастливый ли я
Я просто бегу с тобой от себя,я просто бег с ты от себя
"Одна на миллион, но ты не одна",один на миллион но ты не один
"И я совру нам двоим, и опять",и я соврать мы двоить и опять
Я собираюсь тебя трахнуть и это моя цель,я собираться ты трахнуть и это мой цель
"Заберу тебя на часик и ты знаешь, что в конце",забрать ты на часик и ты знать что в конец
"Прогуляешь одну пару, не обломится лицей",прогулять один пара не обломиться лицей
Я собираюсь тебя тра-а-а и это моя цель,я собираться ты и это мой цель
Я собираюсь тебя трахнуть и это моя цель,я собираться ты трахнуть и это мой цель
"Заберу тебя на часик и ты знаешь, что в конце-е-е",забрать ты на часик и ты знать что в
"Прогуляешь одну пару, не обломится лицей",прогулять один пара не обломиться лицей
Я собираюсь тебя тра-а-а и это моя цель,я собираться ты и это мой цель
Я собираюсь тебя трахнуть и это моя цель,я собираться ты трахнуть и это мой цель
"Заберу тебя на часик и ты знаешь, что в конце",забрать ты на часик и ты знать что в конец
"Прогуляешь одну пару, не обломится лицей",прогулять один пара не обломиться лицей
Я собираюсь тебя трахнуть и это моя цель,я собираться ты трахнуть и это мой цель
Я собираюсь тебя трахнуть и это моя цель,я собираться ты трахнуть и это мой цель
"Заберу тебя на часик и ты знаешь, что в конце",забрать ты на часик и ты знать что в конец
"Прогуляешь одну пару, не обломится лицей",прогулять один пара не обломиться лицей
"Новый день принёс дерьма, как будто кто-то сомневался",новый день принести дерьмо как будто сомневаться
"Вроде бы с виду держусь, но как бы я не улыбался",вроде бы с вид держаться но как бы я не улыбаться
"Я заебался, заебался, заебался (а)",я заебаться заебаться заебаться а
"Я заебался, заебался, заебался (а)",я заебаться заебаться заебаться а
Я заебался,я заебаться
Открываю глазки,открывать глазок
Жизнь уже не сказка,жизнь уже не сказка
Нанеси мне last hit,нанести я last hit
Плавятся как в масле,плавиться как в масло
Мои бедные мозги,мой бедный мозг
Жизнь ебёт меня без смазки,жизнь ести я без смазка
"Новый день принёс дерьма, как будто кто-то сомневался",новый день принести дерьмо как будто сомневаться
"Вроде бы с виду держусь, но как бы я не улыбался",вроде бы с вид держаться но как бы я не улыбаться
"Я заебался, заебался, заебался (а)",я заебаться заебаться заебаться а
"Я заебался, заебался, заебался (а)",я заебаться заебаться заебаться а
Почему во сне лучше чем наяву?,почему в сон хороший чем наяву
Почему я всё чаще закрываю дверь на ключ?,почему я всё частый закрывать дверь на ключ
Я хочу остаться один,я хотеть остаться один
И создать свой маленький мир,и создать свой маленький мир
В нём будет sex & rave,в он быть sex rave
"И не пиздец, а просто peace",и не пиздец а просто peace
"Новый день принёс дерьма, как будто кто-то сомневался",новый день принести дерьмо как будто сомневаться
"Вроде бы с виду держусь, но как бы я не улыбался",вроде бы с вид держаться но как бы я не улыбаться
"Я заебался, заебался, заебался (а)",я заебаться заебаться заебаться а
"Я заебался, заебался, заебался (а)",я заебаться заебаться заебаться а
"Новый день принёс дерьма, как будто кто-то сомневался",новый день принести дерьмо как будто сомневаться
"Вроде бы с виду держусь, но как бы я не улыбался",вроде бы с вид держаться но как бы я не улыбаться
"Я заебался, заебался, заебался (а)",я заебаться заебаться заебаться а
"Я заебался, заебался, заебался (а)",я заебаться заебаться заебаться а
(Двадцать двадцать два),двадцать двадцать два
(Двадцать двадцать два),двадцать двадцать два
Ха,ха
Как же хочется любви и послушать какой-нибудь voice tag,как же хотеться любовь и послушать voice tag
Creambeats production,creambeats production
"А вот и он, осталась только любовь",а вот и он остаться только любовь
Я представляю ее как-то вот так (Рав),я представлять она вот так рав
"Я пес, но не дорос, как будто Пекинес (Ав-ав)",я пёс но не дорасти как будто пекинес
"Но я постоянно work, будто Викернес (Металл)",но я постоянно work будто викернести металл
"Плачу, когда вспоминаю наши дни, принцесса",плач когда вспоминать наш день принцесса
